"subject_identifier" "activity" "feature_measurement_name" "total_average"
2 "WALKING" "fBodyBodyAccJerkMag-std()" -0.518800797709272
2 "WALKING" "fBodyBodyGyroMag-mean()" -0.699742945221854
2 "WALKING" "fBodyBodyGyroMag-std()" -0.725310337688742
2 "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.751615078360927
2 "WALKING" "fBodyBodyGyroJerkMag-std()" -0.744194981440397
4 "WALKING" "tBodyAcc-mean()-X" 0.277034464752577
4 "WALKING" "tBodyAcc-mean()-Y" -0.0133496817746907
4 "WALKING" "tBodyAcc-mean()-Z" -0.105916135927835
4 "WALKING" "tBodyAcc-std()-X" -0.68386446609433
4 "WALKING" "tBodyAcc-std()-Y" -0.589609330539691
4 "WALKING" "tBodyAcc-std()-Z" -0.741959040257732
4 "WALKING" "tGravityAcc-mean()-X" 0.731456509896907
4 "WALKING" "tGravityAcc-mean()-Y" 0.072347989306416
4 "WALKING" "tGravityAcc-mean()-Z" 0.193993433768041
4 "WALKING" "tGravityAcc-std()-X" -0.967576704329897
4 "WALKING" "tGravityAcc-std()-Y" -0.94170652321134
4 "WALKING" "tGravityAcc-std()-Z" -0.936724233273196
4 "WALKING" "tBodyAccJerk-mean()-X" 0.0780162237953608
4 "WALKING" "tBodyAccJerk-mean()-Y" -0.0010311298138299
4 "WALKING" "tBodyAccJerk-mean()-Z" -0.00737070069603093
4 "WALKING" "tBodyAccJerk-std()-X" -0.701066737438144
4 "WALKING" "tBodyAccJerk-std()-Y" -0.670976701376289
4 "WALKING" "tBodyAccJerk-std()-Z" -0.859502524793814
4 "WALKING" "tBodyGyro-mean()-X" -0.0298726752979381
4 "WALKING" "tBodyGyro-mean()-Y" -0.0750086556675258
4 "WALKING" "tBodyGyro-mean()-Z" 0.0956607416628866
4 "WALKING" "tBodyGyro-std()-X" -0.750915960835052
4 "WALKING" "tBodyGyro-std()-Y" -0.828888294742268
4 "WALKING" "tBodyGyro-std()-Z" -0.745904225824742
4 "WALKING" "tBodyGyroJerk-mean()-X" -0.10509869233866
4 "WALKING" "tBodyGyroJerk-mean()-Y" -0.0410624426912371
4 "WALKING" "tBodyGyroJerk-mean()-Z" -0.060866534304433
4 "WALKING" "tBodyGyroJerk-std()-X" -0.778479585721649
4 "WALKING" "tBodyGyroJerk-std()-Y" -0.911436316752577
4 "WALKING" "tBodyGyroJerk-std()-Z" -0.790578254329897
4 "WALKING" "tBodyAccMag-mean()" -0.637532979814948
4 "WALKING" "tBodyAccMag-std()" -0.670122122716495
4 "WALKING" "tGravityAccMag-mean()" -0.637532979814948
4 "WALKING" "tGravityAccMag-std()" -0.670122122716495
4 "WALKING" "tBodyAccJerkMag-mean()" -0.72234055742268
4 "WALKING" "tBodyAccJerkMag-std()" -0.71024608685567
4 "WALKING" "tBodyGyroMag-mean()" -0.708221087886598
4 "WALKING" "tBodyGyroMag-std()" -0.749105473365979
4 "WALKING" "tBodyGyroJerkMag-mean()" -0.849581355824742
4 "WALKING" "tBodyGyroJerkMag-std()" -0.870579517938144
4 "WALKING" "fBodyAcc-mean()-X" -0.698994344226804
4 "WALKING" "fBodyAcc-mean()-Y" -0.610966605674742
4 "WALKING" "fBodyAcc-mean()-Z" -0.784964119020619
4 "WALKING" "fBodyAcc-std()-X" -0.679316495457474
4 "WALKING" "fBodyAcc-std()-Y" -0.60587907902268
4 "WALKING" "fBodyAcc-std()-Z" -0.739920171907216
4 "WALKING" "fBodyAccJerk-mean()-X" -0.717973724971649
4 "WALKING" "fBodyAccJerk-mean()-Y" -0.684648403917526
4 "WALKING" "fBodyAccJerk-mean()-Z" -0.845383895412371
4 "WALKING" "fBodyAccJerk-std()-X" -0.710952957814433
4 "WALKING" "fBodyAccJerk-std()-Y" -0.679116699128866
4 "WALKING" "fBodyAccJerk-std()-Z" -0.872348615876289
4 "WALKING" "fBodyGyro-mean()-X" -0.708097003278351
4 "WALKING" "fBodyGyro-mean()-Y" -0.851859241237113
4 "WALKING" "fBodyGyro-mean()-Z" -0.723913683350515
4 "WALKING" "fBodyGyro-std()-X" -0.765931837365979
4 "WALKING" "fBodyGyro-std()-Y" -0.818105282886598
4 "WALKING" "fBodyGyro-std()-Z" -0.778863649278351
4 "WALKING" "fBodyAccMag-mean()" -0.668273665958763
4 "WALKING" "fBodyAccMag-std()" -0.724979750463917
4 "WALKING" "fBodyBodyAccJerkMag-mean()" -0.702045896773196
4 "WALKING" "fBodyBodyAccJerkMag-std()" -0.723261097164948
4 "WALKING" "fBodyBodyGyroMag-mean()" -0.785172936701031
4 "WALKING" "fBodyBodyGyroMag-std()" -0.769330760360825
4 "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.86760194427835
4 "WALKING" "fBodyBodyGyroJerkMag-std()" -0.884187806804124
4 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.269685855146341
4 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0171085099442602
4 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.110053359325203
4 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.481157815330894
4 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.384255322007236
4 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.658285719430894
4 "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.667377493902439
4 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" 0.176064219895122
4 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" 0.117030634772358
4 "WALKING_UPSTAIRS" "tGravityAcc-std()-X" -0.954845868211382
4 "WALKING_UPSTAIRS" "tGravityAcc-std()-Y" -0.940959838617886
4 "WALKING_UPSTAIRS" "tGravityAcc-std()-Z" -0.948783616341463
4 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-X" 0.080200587601626
4 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-Y" 0.0106812194621382
4 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-Z" -0.00737856315243902
4 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-X" -0.522686832030976
4 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-Y" -0.446980128646341
4 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-Z" -0.817881987560976
4 "WALKING_UPSTAIRS" "tBodyGyro-mean()-X" -0.027473566188374
4 "WALKING_UPSTAIRS" "tBodyGyro-mean()-Y" -0.0845813729861789
4 "WALKING_UPSTAIRS" "tBodyGyro-mean()-Z" 0.0958069867471545
4 "WALKING_UPSTAIRS" "tBodyGyro-std()-X" -0.623295736308943
4 "WALKING_UPSTAIRS" "tBodyGyro-std()-Y" -0.749889456666667
4 "WALKING_UPSTAIRS" "tBodyGyro-std()-Z" -0.695570737073171
4 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean()-X" -0.112213469653659
4 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean()-Y" -0.0384344734528455
4 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean()-Z" -0.0529863681443902
4 "WALKING_UPSTAIRS" "tBodyGyroJerk-std()-X" -0.637528066829268
4 "WALKING_UPSTAIRS" "tBodyGyroJerk-std()-Y" -0.888412003333333
4 "WALKING_UPSTAIRS" "tBodyGyroJerk-std()-Z" -0.681795418349593
4 "WALKING_UPSTAIRS" "tBodyAccMag-mean()" -0.441789745892683
4 "WALKING_UPSTAIRS" "tBodyAccMag-std()" -0.50629736504065
4 "WALKING_UPSTAIRS" "tGravityAccMag-mean()" -0.441789745892683
4 "WALKING_UPSTAIRS" "tGravityAccMag-std()" -0.50629736504065
4 "WALKING_UPSTAIRS" "tBodyAccJerkMag-mean()" -0.551665062753089
4 "WALKING_UPSTAIRS" "tBodyAccJerkMag-std()" -0.547890232756098
4 "WALKING_UPSTAIRS" "tBodyGyroMag-mean()" -0.574385249590244
4 "WALKING_UPSTAIRS" "tBodyGyroMag-std()" -0.639915777398374
4 "WALKING_UPSTAIRS" "tBodyGyroJerkMag-mean()" -0.771259192195122
4 "WALKING_UPSTAIRS" "tBodyGyroJerkMag-std()" -0.802559941951219
4 "WALKING_UPSTAIRS" "fBodyAcc-mean()-X" -0.518103409715447
4 "WALKING_UPSTAIRS" "fBodyAcc-mean()-Y" -0.391561268041463
4 "WALKING_UPSTAIRS" "fBodyAcc-mean()-Z" -0.708346275365854
4 "WALKING_UPSTAIRS" "fBodyAcc-std()-X" -0.468588371045528
4 "WALKING_UPSTAIRS" "fBodyAcc-std()-Y" -0.422334649479756
4 "WALKING_UPSTAIRS" "fBodyAcc-std()-Z" -0.659623483821138
4 "WALKING_UPSTAIRS" "fBodyAccJerk-mean()-X" -0.548003358486179
4 "WALKING_UPSTAIRS" "fBodyAccJerk-mean()-Y" -0.470861077819187
4 "WALKING_UPSTAIRS" "fBodyAccJerk-mean()-Z" -0.793248930406504
4 "WALKING_UPSTAIRS" "fBodyAccJerk-std()-X" -0.540002452644715
4 "WALKING_UPSTAIRS" "fBodyAccJerk-std()-Y" -0.459377588636585
4 "WALKING_UPSTAIRS" "fBodyAccJerk-std()-Z" -0.841927060081301
4 "WALKING_UPSTAIRS" "fBodyGyro-mean()-X" -0.537445270313821
4 "WALKING_UPSTAIRS" "fBodyGyro-mean()-Y" -0.799459630325203
4 "WALKING_UPSTAIRS" "fBodyGyro-mean()-Z" -0.634729117447154
4 "WALKING_UPSTAIRS" "fBodyGyro-std()-X" -0.652062731170732
4 "WALKING_UPSTAIRS" "fBodyGyro-std()-Y" -0.727336206422764
4 "WALKING_UPSTAIRS" "fBodyGyro-std()-Z" -0.748519078617886
4 "WALKING_UPSTAIRS" "fBodyAccMag-mean()" -0.497723469494309
4 "WALKING_UPSTAIRS" "fBodyAccMag-std()" -0.590882542479675
4 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag-mean()" -0.529301794643089
4 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag-std()" -0.576991683357724
4 "WALKING_UPSTAIRS" "fBodyBodyGyroMag-mean()" -0.683314955211382
4 "WALKING_UPSTAIRS" "fBodyBodyGyroMag-std()" -0.674631635121951
4 "WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag-mean()" -0.793458132276423
4 "WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag-std()" -0.829831474634146
9 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.270313841621528
9 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0209466555412396
9 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.101233826213889
9 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.555656544538194
9 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.5758878952125
9 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.506111776081806
9 "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.670845545555556
9 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" -0.0467446999509028
9 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" 0.104353653032743
9 "WALKING_UPSTAIRS" "tGravityAcc-std()-X" -0.958784666180556
9 "WALKING_UPSTAIRS" "tGravityAcc-std()-Y" -0.949938115208333
9 "WALKING_UPSTAIRS" "tGravityAcc-std()-Z" -0.920554317815972
9 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-X" 0.0840171430291667
9 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-Y" 0.00678485848399306
9 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-Z" -0.00102998088194444
9 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-X" -0.578305161360069
9 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-Y" -0.678923872274306
9 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-Z" -0.721610094569444
9 "WALKING_UPSTAIRS" "tBodyGyro-mean()-X" -0.0701318154561458
9 "WALKING_UPSTAIRS" "tBodyGyro-mean()-Y" -0.0729884312991667
9 "WALKING_UPSTAIRS" "tBodyGyro-mean()-Z" 0.109092913237986
9 "WALKING_UPSTAIRS" "tBodyGyro-std()-X" -0.676452392569444
9 "WALKING_UPSTAIRS" "tBodyGyro-std()-Y" -0.670498220701389
9 "WALKING_UPSTAIRS" "tBodyGyro-std()-Z" -0.587557692291458
9 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean()-X" -0.0892254930640278
9 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean()-Y" -0.0397344421815972
9 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean()-Z" -0.053402884281875
9 "WALKING_UPSTAIRS" "tBodyGyroJerk-std()-X" -0.7617108665625
9 "WALKING_UPSTAIRS" "tBodyGyroJerk-std()-Y" -0.773273878854167
9 "WALKING_UPSTAIRS" "tBodyGyroJerk-std()-Z" -0.744656038298611
9 "WALKING_UPSTAIRS" "tBodyAccMag-mean()" -0.505183470509188
9 "WALKING_UPSTAIRS" "tBodyAccMag-std()" -0.553038255314792
9 "WALKING_UPSTAIRS" "tGravityAccMag-mean()" -0.505183470509188
9 "WALKING_UPSTAIRS" "tGravityAccMag-std()" -0.553038255314792
9 "WALKING_UPSTAIRS" "tBodyAccJerkMag-mean()" -0.621608245092361
9 "WALKING_UPSTAIRS" "tBodyAccJerkMag-std()" -0.608862145384722
9 "WALKING_UPSTAIRS" "tBodyGyroMag-mean()" -0.550201866572569
9 "WALKING_UPSTAIRS" "tBodyGyroMag-std()" -0.663198385034722
9 "WALKING_UPSTAIRS" "tBodyGyroJerkMag-mean()" -0.7629795809375
9 "WALKING_UPSTAIRS" "tBodyGyroJerkMag-std()" -0.786176892048611
9 "WALKING_UPSTAIRS" "fBodyAcc-mean()-X" -0.579258404408681
9 "WALKING_UPSTAIRS" "fBodyAcc-mean()-Y" -0.610267804090278
9 "WALKING_UPSTAIRS" "fBodyAcc-mean()-Z" -0.592119122804271
9 "WALKING_UPSTAIRS" "fBodyAcc-std()-X" -0.547995744907986
9 "WALKING_UPSTAIRS" "fBodyAcc-std()-Y" -0.586766083232639
9 "WALKING_UPSTAIRS" "fBodyAcc-std()-Z" -0.501074006965903
9 "WALKING_UPSTAIRS" "fBodyAccJerk-mean()-X" -0.621377141312847
9 "WALKING_UPSTAIRS" "fBodyAccJerk-mean()-Y" -0.699766614569444
9 "WALKING_UPSTAIRS" "fBodyAccJerk-mean()-Z" -0.702931927996528
9 "WALKING_UPSTAIRS" "fBodyAccJerk-std()-X" -0.572819893733993
9 "WALKING_UPSTAIRS" "fBodyAccJerk-std()-Y" -0.679065855003472
9 "WALKING_UPSTAIRS" "fBodyAccJerk-std()-Z" -0.739139922708333
9 "WALKING_UPSTAIRS" "fBodyGyro-mean()-X" -0.639863219559028
9 "WALKING_UPSTAIRS" "fBodyGyro-mean()-Y" -0.683924287600694
9 "WALKING_UPSTAIRS" "fBodyGyro-mean()-Z" -0.612680463163889
9 "WALKING_UPSTAIRS" "fBodyGyro-std()-X" -0.690689895534722
9 "WALKING_UPSTAIRS" "fBodyGyro-std()-Y" -0.667203220760417
9 "WALKING_UPSTAIRS" "fBodyGyro-std()-Z" -0.619468634127778
9 "WALKING_UPSTAIRS" "fBodyAccMag-mean()" -0.553186448295139
9 "WALKING_UPSTAIRS" "fBodyAccMag-std()" -0.624456827182986
9 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag-mean()" -0.609193721940625
9 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag-std()" -0.611619343190972
9 "WALKING_UPSTAIRS" "fBodyBodyGyroMag-mean()" -0.700863097986111
9 "WALKING_UPSTAIRS" "fBodyBodyGyroMag-std()" -0.697729432621528
9 "WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag-mean()" -0.786473954201389
9 "WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag-std()" -0.801296292638889
10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.276238831213675
10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0188857189162821
10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" -0.112087661002564
10 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-X" -0.425216183982906
10 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Y" -0.386704550776068
10 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Z" -0.523113372540812
10 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" 0.65835911957265
10 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" -0.165177771367521
10 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" 0.0307366662204145
10 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-X" -0.964245853333333
10 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-Y" -0.95273087965812
10 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-Z" -0.929729024405983
10 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-X" 0.0804000423888889
10 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Y" 0.0153774046898718
10 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Z" -0.0143982101450427
10 "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-X" -0.414395232038462
10 "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-Y" -0.431961308787137
10 "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-Z" -0.690604755970085
10 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-X" -0.0144658378235897
10 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Y" -0.0863038250719359
10 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Z" 0.089594378107906
10 "WALKING_DOWNSTAIRS" "tBodyGyro-std()-X" -0.597873796746581
10 "WALKING_DOWNSTAIRS" "tBodyGyro-std()-Y" -0.492482432210256
10 "WALKING_DOWNSTAIRS" "tBodyGyro-std()-Z" -0.505981516216239
10 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-X" -0.11062834367265
10 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-Y" -0.043380952132265
10 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-Z" -0.0554261378425641
10 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-std()-X" -0.632669178589744
10 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-std()-Y" -0.713441119059829
10 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-std()-Z" -0.611026435705128
10 "WALKING_DOWNSTAIRS" "tBodyAccMag-mean()" -0.384739666615641
10 "WALKING_DOWNSTAIRS" "tBodyAccMag-std()" -0.44358190387041
10 "WALKING_DOWNSTAIRS" "tGravityAccMag-mean()" -0.384739666615641
10 "WALKING_DOWNSTAIRS" "tGravityAccMag-std()" -0.44358190387041
10 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag-mean()" -0.474897326746876
10 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag-std()" -0.416276937898718
10 "WALKING_DOWNSTAIRS" "tBodyGyroMag-mean()" -0.412441627912821
10 "WALKING_DOWNSTAIRS" "tBodyGyroMag-std()" -0.541830959732991
10 "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag-mean()" -0.670402026880342
10 "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag-std()" -0.714863988119658
10 "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-X" -0.418694276739316
10 "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-Y" -0.380394009936325
10 "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-Z" -0.572754894505128
10 "WALKING_DOWNSTAIRS" "fBodyAcc-std()-X" -0.429098457335897
10 "WALKING_DOWNSTAIRS" "fBodyAcc-std()-Y" -0.430554427691538
10 "WALKING_DOWNSTAIRS" "fBodyAcc-std()-Z" -0.537241875010256
10 "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-X" -0.436761689484615
10 "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-Y" -0.450402445118248
10 "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-Z" -0.654781895967094
10 "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-X" -0.444119132470983
10 "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-Y" -0.451626571504701
10 "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-Z" -0.726013573974359
10 "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-X" -0.531727937426966
10 "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-Y" -0.564114631944444
10 "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-Z" -0.467504644086325
10 "WALKING_DOWNSTAIRS" "fBodyGyro-std()-X" -0.621040868816239
10 "WALKING_DOWNSTAIRS" "fBodyGyro-std()-Y" -0.460535897286325
10 "WALKING_DOWNSTAIRS" "fBodyGyro-std()-Z" -0.565036981154701
10 "WALKING_DOWNSTAIRS" "fBodyAccMag-mean()" -0.407807233704274
10 "WALKING_DOWNSTAIRS" "fBodyAccMag-std()" -0.552739646816667
10 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag-mean()" -0.398398451363248
10 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag-std()" -0.446280697635769
10 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag-mean()" -0.585222602952991
10 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag-std()" -0.593770651726496
10 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag-mean()" -0.713252357820513
10 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag-std()" -0.737951108418803
10 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.2792260805
10 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0137410699333333
10 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.1082356298
10 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.976914667166667
10 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.929141091633333
10 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.972264913
10 "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.582637512166667
10 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" 0.2814715215
10 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" 0.1506301434
10 "WALKING_UPSTAIRS" "tGravityAcc-std()-X" -0.9719009915
10 "WALKING_UPSTAIRS" "tGravityAcc-std()-Y" -0.961517524833333
10 "WALKING_UPSTAIRS" "tGravityAcc-std()-Z" -0.973718302333333
10 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-X" 0.0775130550833333
10 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-Y" 0.00330831786383333
10 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-Z" 0.000510105274833334
10 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-X" -0.977836345
10 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-Y" -0.962510329833333
10 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-Z" -0.9852148295
10 "WALKING_UPSTAIRS" "tBodyGyro-mean()-X" -0.0342448434966667
10 "WALKING_UPSTAIRS" "tBodyGyro-mean()-Y" -0.078152882769
10 "WALKING_UPSTAIRS" "tBodyGyro-mean()-Z" 0.0966117812
10 "WALKING_UPSTAIRS" "tBodyGyro-std()-X" -0.970429545833333
10 "WALKING_UPSTAIRS" "tBodyGyro-std()-Y" -0.976850974833333
10 "WALKING_UPSTAIRS" "tBodyGyro-std()-Z" -0.957569497
10 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean()-X" -0.0984885261
